property_id,purpose,type,added_on,furnishing,Price AED,Location,bed_bath_size,permit_number,agent_name,image_url,breadcrumbs,amenities,description
Bayut - DCH242445,For Sale,Penthouse,4 June 2024,Off-Plan,"72,840,000","Six Senses Residences Dubai Marina, Dubai Marina, Dubai","4 Beds,5 Baths",none,Myriam Laarif,https://images.bayut.com/thumbnails/718524053-800x600.jpeg,"Dubai Penthouses,Dubai Marina,Six Senses Residences Dubai Marina,Bayut - DCH242445",,"Dacha Real Estate presenting you this amazing investment opportunity in the world’s tallest Tower in one of the most demanded location in Dubai, Marina. The project Six Senses is one of the most luxurious Residential project by Select Group. ,Description,- World’s Tallest Residential Tower,- Six Senses Residences,- 2 Beds / 3 Beds / 4 Beds,- Amenities: 61,250 sq. ft,- 40/60 payment plan,- Completion Date: July 2028,-Fully fitted kitchen,Bespoke Residences: From 2-bedroom sanctuaries to 5-bedroom penthouses, each space is a testament to luxury and personalized well-being. ,Spectacular Views: Panoramic vistas of Dubai Marina and the Arabian Gulf from the world's tallest residential tower. ,Exclusive Amenities: A 25-metre lap pool on the 109th-floor sky deck, alongside community and wellness facilities. ,Payment Plan,Upon Reservation: AED 100K,Registration within 14 days of reservation: Balance of 20%,Within 6 months of reservation: 20%,Upon Completion: 60%,Revolutionizing branded residences, this groundbreaking development set to claim the title as the world’s tallest residential tower. ,Experience Life at the Pinnacle: Own a Piece of Iconic Luxury at Six Senses Residence. This Magnificent Residence Offers More Than Just a Home – It’s a Statement of Prestige and Sophistication. Enjoy Unmatched Views of Dubai skyline. ,To register your interest or arrange a viewing, please contact me on ,For further information please contact our head office on ,, alternatively visit www. dacha. ae where you will find an extensive selection of properties available for sale and for rent."
Bayut - BB-DS-ELITERES-4BR-NJ,For Sale,Apartment,,Ready,"16,000,000","Elite Residence, Dubai Marina, Dubai","4 Beds,6 Baths",none,Daljit Singh,https://images.bayut.com/thumbnails/558292265-800x600.jpeg,"Dubai Apartments,Dubai Marina,Elite Residence,Bayut - BB-DS-ELITERES-4BR-NJ","Balcony or Terrace,Shared Kitchen,Parking Spaces,: 3,Maids Room,Parking Spaces,: 3,Centrally Air-Conditioned,Central Heating,Balcony or Terrace,Gym or Health Club,Swimming Pool,Kids Play Area,Lawn or Garden,Barbeque Area,Security Staff,Shared Kitchen,Broadband Internet,Satellite/Cable TV,Intercom,Maids Room","Azco Real Estate is pleased to offer this Luxurious Fully Furnished 4-bedroom apartment in Elite Residences, Dubai Marina. This property is spread over 6246 sqft and has a modern outstanding finishing,,PROPERTY DETAILS:,-4 Bedroom ,-Maid Room,-6 Bathroom,-Fully Furnished,-Fully Palm Marina View ,-Premium and high-end finishing,-Allocated parking space,-24-hour CCTV and security service,-Concierge service,-Fully-equipped gymnasium,-Indoor Swimming pool,-Outdoor children’s play area,-Near to Tram,-Parks and open spaces,-Restaurants and retail shops nearby,Elite Residence, a 380.5-meter (1,248 ft) tall supertall skyscraper in Dubai Marina, UAE, boasts 87 floors with 76 dedicated to 695 apartments. The remaining 15 floors house amenities like car parking, pools, spas, reception areas, health clubs, a business center, and a gymnasium. With 12 elevators, the tower was the world's third-tallest residential building upon completion on January 21, 2012, and currently holds the eighth position as of 2022,Buyers, sellers, and tenants can reach us anytime. Thank you for choosing Azco Real Estate!"
Bayut - Binghatti-Mercedes-4B,For Sale,Apartment,28 June 2024,Off-Plan,"35,299,999","Mercedes Benz Places by Binghatti, Downtown Dubai, Dubai","4 Beds,5 Baths",none,Binghatti Developer,https://images.bayut.com/thumbnails/728243214-800x600.jpeg,"Dubai Apartments,Downtown Dubai,Mercedes Benz Places by Binghatti,Bayut - Binghatti-Mercedes-4B","Balcony or Terrace,Swimming Pool,Jacuzzi,Sauna,Centrally Air-Conditioned,Central Heating,Balcony or Terrace,Lobby in Building,Service Elevators,Completion Year,: 2026,Reception/Waiting Room,Gym or Health Club,Swimming Pool,Jacuzzi,Sauna,Steam Room,Security Staff,CCTV Security,Broadband Internet,24 Hours Concierge,View,Freehold","MERCEDES BENZ BY BINGHATTI: LUXURY LIVING AT ITS PINNACLE,Mercedes-Benz Places by Binghatti is one of the latest branded luxury offerings from Binghatti Developers in Dubai, ready to move in by Q4 2026. ,DIRECT FROM DEVELOPER | NO BROKER INVOLVED | NO COMMISSION | ATTRACTIVE PAYMENT PLAN OPTIONS,Immerse yourself in an oasis of luxury with:,•	Expansive Living lounge,•	Modern Kitchen,•	Four bedrooms en-suite bathroom,•	Walk-in Closet,•	Helper Bedroom en-suite bathroom,•	Powder Room,•	Laundry Area,•	Storage Room,•	Private Pool,•	Spacious Balcony,•	Smart Home Technology ,•	Unobstructed view of Burj Khalifa, Water Canal, Business Bay and Burj Khalifa District,For more information, reach out to us at , (Call /Whatsapp) or email simonette. ,Strategically located:,Nestled in Downtown Dubai, surrounded by iconic landmarks. ,•	3 Minutes from Dubai Mall,•	3 Minutes from Burj Khalifa,•	7 Minutes from Museum of the Future,•	10 Minutes from Dubai Frame,Discover the epitome of opulence at Mercedes-Benz Places by Binghatti, where luxury meets lifestyle in this remarkable 4-bedroom Penthouse masterpiece. Experience a harmonious blend of contemporary design and ultimate comfort in this exquisite residence. Indulge in the pinnacle of amenities including a state-of-the-art gym, refreshing pool, and rejuvenating spa, all complemented by unrivaled 24/7 security and concierge services. Nestled in Downtown Dubai, with iconic landmarks like the Burj Khalifa and Dubai Mall at your doorstep, immerse yourself in a vibrant cosmopolitan atmosphere. Elevate your living experience today - contact us to schedule your private viewing and step into a world of unparalleled luxury. ,For more information, reach out to us at , (Call /Whatsapp) or email simonette. ,SKY-HIGH PENTHOUSE | CRAFTED FOR DISTINCTION"
Bayut - AP7231S,For Sale,Apartment,2 July 2024,Off-Plan,"11,000,000","Grande, Opera District, Downtown Dubai, Dubai","4 Beds,4 Baths",none,ASSAAD JOSEPH TANNOURI,https://images.bayut.com/thumbnails/729102249-800x600.jpeg,"Dubai Apartments,Downtown Dubai,Opera District,Grande,Bayut - AP7231S",,"Grande at The Opera District, a magnificent development by Emaar Properties that offers 1, 2, 3 & 4-bedroom apartments located at Downtown Dubai. This impressive designed 78-storey iconic rising development offers top-notch facilities and world-class lifestyle with its attractive payment opportunity. ,PROPERTY DETAILS:,- 4 bedroom apartment,- Built in Wardrobes,- Modern Kitchen,- Spacious living room,- Storage areas,- Centralize ac,- Laundry room ,- Parking space,AMENITIES:,- Swimming Pool Facilities,- Fitness Center,- Health Club,- Kids Playground Area,- Podium-level,- Barbeque Area,- Park,- Outdoor Gymnasium,- Restaurant and Cafe,- Running Track,- Spa and Sauna,- Sports Court,- Yoga & Meditation,While situated in the beating heart of Opera District in Downtown Dubai that is being surrounded by high-class destinations and next to the Dubai Opera, the home of arts sporting from Dubai to the entire world. ,The Luxury Escapes Group caters for the diverse needs of today’s modern, cosmopolitan society. Our work is guided by the hallmarks of elegance, efficiency and five-star service, as we use our expertise and network to address the needs of those seeking a higher standard of quality."
Bayut - FahadMalik_Mercedes4br,For Sale,Apartment,11 June 2024,Off-Plan,"35,699,999","Mercedes Benz Places by Binghatti, Downtown Dubai, Dubai","4 Beds,4 Baths",none,Fahad Haq,https://images.bayut.com/thumbnails/596101776-800x600.jpeg,"Dubai Apartments,Downtown Dubai,Mercedes Benz Places by Binghatti,Bayut - FahadMalik_Mercedes4br","Balcony or Terrace,Swimming Pool,Electricity Backup,Centrally Air-Conditioned,Electricity Backup,Centrally Air-Conditioned,Balcony or Terrace,Lobby in Building,Service Elevators,Reception/Waiting Room,Gym or Health Club,Swimming Pool,Kids Play Area,Waste Disposal,Maintenance Staff,Security Staff,CCTV Security,Freehold","Discover Living in Sensual Purity - Mercedes-Benz Places ,It is the first Mercedes-Benz branded residential complex in the world, with architecture that was inspired by futuristic designs. The estimated completion date of the project is December 2026. ,Key Highlights:,·        Luxurious residences with great designs,·        The best facilities and services available,·        Location in a thriving community. ,·        Excellent position in Jumeirah Village Circle Dubai,·        Offers top-notch facilities and services. ,Amenities:,·        Swimming Pool,·        Gymnasiums,·        Parks & Gardens,·        Parking Space,·        Spa & Wellness,·        Retail Outlets,·        Sports Courts,·        Maintenance Staff,·        Private Services,·        Banquet hall,·        Mini Theater,Distance:,Closest Metro Stations: Business Bay & Burj Khalifa/Dubai Mall,07 minutes to Downtown Dubai,14 minutes to Dubai International Airport,22 minutes to Dubai Marina,35 minutes to DWC Airport,Payment Plan:,20% on Booking,50% on Construction,20% on Handover,For further details and viewings, please call:,Fahad Malik at ,H & S Real Estate prides itself as one of the competent real estate in Dubai, United Arab Emirates, Our mission is to serve the needs of our clients with a menu of tailored services designed to free the client from headaches & hassles of residential property management while maximizing the value of the investment."
Bayut - SHRE-S-816,For Sale,Apartment,10 June 2024,Off-Plan,"14,165,000","Peninsula Four The Plaza, Peninsula, Business Bay, Dubai","4 Beds,4 Baths",none,Shagoofa Arif,https://images.bayut.com/thumbnails/723566415-800x600.jpeg,"Dubai Apartments,Business Bay,Peninsula,Peninsula Four The Plaza,Bayut - SHRE-S-816","Balcony or Terrace,Lobby in Building,Gym or Health Club,Kids Play Area,Balcony or Terrace,Lobby in Building,Gym or Health Club,Kids Play Area,Barbeque Area","STONE HOUSE REAL ESTATE is pleased to introduce 4-Bedroom,Apartment in PENINSULA 4, Business Bay. Each unit is tastefully designed to,make optimum use of space and create flowing, open living spaces, enhanced by,striking floor to ceiling windows that frame the spectacular views of Downtown,Dubai landmarks such as the Burj Khalifa, the iconic Dubai skyline, as well as,the glistening waters of the Dubai Canal. ,* 4-Bedroom duplex,* 5 Bathroom,* Size: 4,393 sqft,* Expansive Living Space,* Floor to Ceiling windows ,* Panoramic Views of Dubai Canal,* Open Layout of Kitchen,* Modern Kitchen Appliances,* Infinity Swimming Pool ,* Kids Pool,* State of art-GYM,* Sauna,* Beautiful Lobby,* Squash Court,* Loft Pools,* BBQ Area,* Boutique Store,Step into excellence with [STONE HOUSE REAL ESTATE], your premier choice in,real estate since 2012. As an award-winning agency, our legacy is built on a,commitment to delivering unparalleled results and ensuring your property,journey is marked by success. List your property today with [STONE HOUSE REAL,ESTATE], where expertise meets excellence. "
Bayut - 100947-FCGPEL,For Sale,Penthouse,,Ready,"16,400,000","5242 Tower 1, 5242 Towers, Dubai Marina, Dubai","4 Beds,5 Baths",none,Guzel Nazarova,https://images.bayut.com/thumbnails/728652040-800x600.jpeg,"Dubai Penthouses,Dubai Marina,5242 Towers,5242 Tower 1,Bayut - 100947-FCGPEL","Furnished,Balcony or Terrace,Swimming Pool,View,Furnished,Balcony or Terrace,Lobby in Building,Reception/Waiting Room,Gym or Health Club,Swimming Pool,Security Staff,CCTV Security,Nearby Shopping Malls,View","Alpha Star Properties is delighted to offer this Duplex penthouse, furnished and fully upgraded, with mesmerizing palm and bluewaters views. Offering bright floor to ceiling windows, 4 balconies with sea views. A master bedroom with ensuite and walk in wardrobe, two bedrooms with ensuites, maids room and study. ,HIGHLIGHTS: ,- Fully Upgraded,- Highest floor duplex penthouse,- Fully Furnished by Interior Designer,- Large open plan living area, dining space and bar,- Master bedroom with ensuite and walk in wardrobe,- Maids room, Office room, Storage space,- Two dedicated parking spaces,- Unreal Panoramic Views - 4 balconies,Kindly visit the following links for the penthouse tour:,https://youtu. be/mQagoC77NXY,https://youtu. be/BwixmBwaHpo,https://youtube. com/shorts/dFF9CSJd7gw?feature=share,https://youtu. be/SlhdXpBJBMs,For enquiries and exclusive viewing, Call or Whatsapp us right now at ,Email : ,We are happy to assist you from 9 am to 9pm (Monday to Sunday),Alpha Star Properties: Boutique real estate agency for high end properties. More than27 years we proudly provide stellar service to our clients. ,We provide to our clients a wide-range & efficient real estate services, facilities, solutions and help them Buy, Sell, Rent or Manage their realty in Dubai. ,Whether it is Residential, Commercial, Retail or Land Pleasant Real Estate Brokers help make right decision. ,Our associates: Omniyat, Emaar, Meraas, Select Group, etc,Areas of expertise: BlueWaters, Emaar Beachfront, Palm Jumeirah, Pearl Island, Bulgari Island, La Mer, Madinat Jumeirah Living. ,Do not hesitate to call or send us WhattsApp message right now."
Bayut - 7737-K1ppBq,For Sale,Apartment,25 June 2024,Off-Plan,"4,171,888","The Central Downtown, Arjan, Dubai","3 Beds,4 Baths",none,Muhammad ijaz,https://images.bayut.com/thumbnails/727834690-800x600.jpeg,"Dubai Apartments,Arjan,The Central Downtown,Bayut - 7737-K1ppBq","Furnished,Balcony or Terrace,Shared Kitchen,Maids Room,Furnished,Electricity Backup,Centrally Air-Conditioned,Central Heating,Storage Areas,Study Room,Balcony or Terrace,Lobby in Building,Service Elevators,Prayer Room,Reception/Waiting Room,First Aid Medical Center,Gym or Health Club,Facilities for Disabled,Swimming Pool,Jacuzzi,Sauna,Steam Room,Day Care Center,Kids Play Area,Lawn or Garden,Barbeque Area,Cafeteria or Canteen,Waste Disposal,Maintenance Staff,Cleaning Services,Business Center,Conference Room,Security Staff,CCTV Security,Shared Kitchen,Laundry Room,Laundry Facility,Broadband Internet,Satellite/Cable TV,Intercom,ATM Facility,24 Hours Concierge,Maids Room,Freehold","Spacious 3 Bedroom Apartment for SaleExperience luxury living in this expansive 3-bedroom, 6,279.99 sq. ft. apartment at The Central Downtown in Arjan, Dubailand. Featuring modern bathrooms, a fully equipped kitchen, an extensive dining area, a private balcony with city views, and secure parking, this apartment is designed for comfort and elegance. Situated above a 150,000 sq. ft. shopping mall, residents enjoy immediate access to retail and dining options, along with over 200,000 sq. ft. of amenities including rooftop gardens, a BBQ area, mini-golf, an outdoor cinema, a swimming pool, and a rock-climbing wall. With excellent connectivity to Dubai Hills, Arabian Ranches, JVC, and Sheikh Zayed Road. ASD"
Bayut - MET_050324,For Sale,Apartment,,Ready,"5,100,000","Executive Tower C, Executive Towers, Business Bay, Dubai","4 Beds,5 Baths",none,Megha Poddar,https://images.bayut.com/thumbnails/682213836-800x600.jpeg,"Dubai Apartments,Business Bay,Executive Towers,Executive Tower C,Bayut - MET_050324","Balcony or Terrace,Shared Kitchen,Parking Spaces,: 2,Maids Room,Electricity Backup,Parking Spaces,: 2,Centrally Air-Conditioned,Double Glazed Windows,Storage Areas,Balcony or Terrace,Lobby in Building,Service Elevators,Prayer Room,Reception/Waiting Room,First Aid Medical Center,Gym or Health Club,Facilities for Disabled,Swimming Pool,Jacuzzi,Sauna,Steam Room,Day Care Center,Kids Play Area,Lawn or Garden,Barbeque Area,Cafeteria or Canteen,Waste Disposal,Maintenance Staff,Cleaning Services,Business Center,Conference Room,Security Staff,CCTV Security,Shared Kitchen,Laundry Room,Laundry Facility,Intercom,ATM Facility,Maids Room,Freehold","Aim Properties is proud to offer this 4 Bedroom + Maid Duplex Garden Apartment with Huge Terrace in Tower C, East Heights 3, Executive towers, Business bay. ,• 4 bedrooms + maid's room,• 5 bathrooms ,• Balcony and private garden,• 2 floors,• Garden apartment,• 4,750 sq ft,• Pool & Jacuzzi,• Gym,• Steam and sauna,• Concierge,• 24/7 Security ,• Covered parking,• Close to metro,• Communal gardens & landscaped plaza,• Various restaurants, cafes, retails shops etc. on Bay,Avenue,• Indoor games like carromboard, table tennis , soccer,• Outdoor games such as basket ball, kids play area,• Dogs park area. ,Executive Tower C is located close to Sheikh Zayed Road,and within walking distance to the Metro station. It consists of one, two,,three and four bedroom apartments with special units that include gardens and,terraces. Also available are magnificent loft penthouse apartments. The complex,also features a swimming pool and gymnasium and you have a choice of a Burj,Khalifa, sea/creek and fountain views. The property is situated in a complex of,12 towers. Within this complex you will find Bay Avenue shopping mall, as well,as landscaped gardens, children’s play areas, fountain yards etc. ,For More Details, Information and property viewing Please,contact ,COMPANY PROFILE:,AIM Properties has been recognized as a leader in the,market of distinctive and luxury properties, committed to high performance and,professionalism. ,With our lucrative and auspicious background of finance,& investment, we deliver excellence in real estate. We promise a swift,response, the highest standard of service & dedication to both quality and,integrity. ,We believe, Customer Service is not a slogan. It’s our,way of doing business."
Bayut - 102164-CYab8a,For Sale,Apartment,Q4 2026,Off-Plan,"4,171,888","The Central Downtown, Arjan, Dubai","3 Beds,3 Baths",none,Amaan Zaidi,https://images.bayut.com/thumbnails/727575214-800x600.jpeg,"Dubai Apartments,Arjan,The Central Downtown,Bayut - 102164-CYab8a","Balcony or Terrace,Parking Spaces,: 1,Swimming Pool,Lobby in Building,Parking Spaces,: 1,Balcony or Terrace,Lobby in Building,Service Elevators,Reception/Waiting Room,Gym or Health Club,Swimming Pool,Kids Play Area,Lawn or Garden,Barbeque Area,Security Staff,CCTV Security,24 Hours Concierge","House & Hedges Real Estate is pleased to offer this 3 Bedroom Apartment in The Central Downtown, Arjan, Dubai.  ,The Central Downtown by Aqua Properties stands as an epitome of luxurious living in the heart of Arjan, Dubai featuring luxury edition studios to 3-bedroom apartments. Comprising four distinctive towers as A, B, C, and D – this multi-building complex sprawls across a central plot of nearly 07 acres, offering unparalleled visibility and accessibility within the Arjan community. ,PROPERTY DETAILS:,- 3 Bedrooms,- 3 Bathrooms,- High Floor ,- Pool & Skyline View ,- Fitness Centre,- Kids Play Area,- Swimming Pool,PAYMENT PLAN:,- 20% Down Payment,- 30% During Construction,- 50% On Handover,Completion: Q2 2027,House and Hedges Real Estate, where your dream home journey begins. Our dedicated team is committed to turning your real estate aspirations into reality. Experience personalized service, unmatched expertise, and a seamless path to finding the perfect place to call home.   ,For more details, please contact our dedicated team member. ,We're eager to assist you on your journey to finding your dream home. Thank you for choosing House & Hedges Real Estate."
Bayut - HRA-S-1391,For Sale,Apartment,,Ready,"4,200,000","Palazzo Versace, Culture Village, Dubai","2 Beds,3 Baths",none,Bassam Chamoun,https://images.bayut.com/thumbnails/566509248-800x600.jpeg,"Dubai Apartments,Culture Village,Palazzo Versace,Bayut - HRA-S-1391","Balcony or Terrace,Parking Spaces,Swimming Pool,Jacuzzi,Parking Spaces,Centrally Air-Conditioned,Balcony or Terrace,Gym or Health Club,Swimming Pool,Jacuzzi,Sauna,Steam Room,Maintenance Staff,Laundry Room,Broadband Internet,ATM Facility,24 Hours Concierge,View","Stunning unfurnished 2 bedroom apartment in Palazzo Versace Dubai. Live in luxury, call us on , to book your viewing. Our office is located in the same building. ,Palazzo Versace Dubai Hotel and Residences is located on a premium waterfront plot with views of Dubai Creek. There are 169 lavish private residences ranging from one to six bedrooms. All residences bought from the developer come fully furnished in Versace Furnishings. ,Residences feature a sumptuous array of world-class provisions and appliances, timber flooring, and mosaic tiling throughout living areas. Residents have access to superb Hotel facilities, lounges, ballroom, Versace boutique, restaurants, luxury spa, gymnasium, and outdoor swimming pools. ,High Mark Real Estate Brokers LLC,Trakheesi :, , PROPERTY FEATURES:  ,-Balcony ,-Basement parking ,-Broadband ready ,-Built in wardrobes ,-Central air conditioning ,-Covered parking ,-Fully fitted kitchen ,-Gymnasium ,-Jacuzzi ,-Kitchen white goods ,-Laundry/washing room ,-On mid floor ,-Sauna ,-Shared swimming pool ,-Steam room ,-View of parkland ,-24 hours Maintenance ,-Bank/ATM Facility ,-Concierge service ,-Cycling tracks ,-Metro station ,-Mosque ,-Recreational Facilities ,-Restaurants ,-School ,-Shops ,-Valet Service ,-Walking Trails"
Bayut - 101812-SN5hci,For Sale,Apartment,,Ready,"3,500,000","The Cosmopolitan, Business Bay, Dubai","3 Beds,3 Baths",none,Zeeshan Anwar,https://images.bayut.com/thumbnails/717430857-800x600.jpeg,"Dubai Apartments,Business Bay,The Cosmopolitan,Bayut - 101812-SN5hci","Swimming Pool,Sauna,Steam Room,Centrally Air-Conditioned,Centrally Air-Conditioned,Service Elevators,Reception/Waiting Room,Gym or Health Club,Swimming Pool,Sauna,Steam Room,Day Care Center,Kids Play Area,Lawn or Garden,Waste Disposal,Maintenance Staff,Security Staff,CCTV Security,24 Hours Concierge"," (Cour Jardin) is a 19-story hotel apartment in Dubai's Business Bay. It offers luxurious apartments with Arabesque décor and stunning Downtown Dubai views. There are 335 units, including deluxe rooms, one-bedroom, two-bedroom, and three-bedroom suites. All are spacious with modern furnishings, kitchenettes, and balconies or terraces. It's conveniently located near the Business Bay metro station, Dubai International Financial Centre, and various dining, shopping, and entertainment options. They also provide 24-hour concierge service and valet parking. Plus, there's a huge , apartment option,Don't miss the opportunity to own this spacious, well-appointed residence. Contact Anwa Properties today to schedule a viewing and make it your own."
Bayut - WAKHAN-291,For Sale,Apartment,,Ready,"4,670,000","Al Badia Building 8, Al Badia Buildings, Dubai Festival City, Dubai","3 Beds,5 Baths",none,Irina Vakhromova,https://images.bayut.com/thumbnails/589213721-800x600.jpeg,"Dubai Apartments,Dubai Festival City,Al Badia Buildings,Al Badia Building 8,Bayut - WAKHAN-291",,"Wakhan Properties offers this 3 Bedroom Apartment at Al Badia Residences Building 8 in Dubai Festival City. ,Unit Highlights:,-	Spacious 3 Bedroom Apartment,-	Upgraded & Extended,-	5 bathrooms ,-	460.96 sqm / 4961.73 sq ft,-	Located near Al Areesh Club and Universal American School,-	The club is equipped with tennis court, pool, restaurant which is perfect for families to enjoy healthy life style. ,Al Badia Highlights:,Al Badia Residences is located in the heart of the famous entertainment destination Dubai Festival City. The community has modern style apartments and villas offering a safe life to residents. The community is known for its tranquil environment. ,Al Badia Residences has two types of residential properties; apartments and villas. It is surrounded by lush green gardens and offer amenities that include Dubai Festival City Mall, Al Badia Golf Club and Al Areesh Club. ,For more details, info, and viewing schedule, please call us. ,Wakhan Properties is known for their extensive market knowledge and for their unmatched devotion to their clients. Wakhan Properties success in establishing their own is based almost exclusively on motivations and inspirations came from highly satisfied clients and referrals. They earn respect of their clients by working tirelessly on their behalf and by always offering them candid advice."
Bayut - 121-AP-S-24,For Sale,Apartment,,Ready,"1,800,000","Icon Tower 1, JLT Cluster M, Jumeirah Lake Towers (JLT), Dubai","3 Beds,4 Baths",none,Muhammad Ibrahim,https://images.bayut.com/thumbnails/644762117-800x600.jpeg,"Dubai Apartments,Jumeirah Lake Towers (JLT),JLT Cluster M,Icon Tower 1,Bayut - 121-AP-S-24","Furnished,Centrally Air-Conditioned,Lobby in Building,Gym or Health Club,Furnished,Centrally Air-Conditioned,Lobby in Building,Gym or Health Club,Kids Play Area,Lawn or Garden,Waste Disposal,Maintenance Staff,Cleaning Services,Security Staff","Arsalan Properties proudly presents this 3-bedroom plus Maid Apartment in Icon Tower 1, Cluster M, Jumeirah Lake Tower Dubai United Arab Emirates,✅3 Bedrooms Apartment,✅Ensuite Bathrooms,✅Maid Room,✅Laundry Room,✅Semi Closed Kitchen,✅Fully Kitchen Appliances Equipped,✅24/ Security CCTV,✅Restaurants & Grocery Shops,✅Swimming Pool,✅Gym,✅Susanna,✅Kids Play Area,redefines the concept of luxury living where modernism easily blends into sophistication, style, and comfort. The exquisitely designed high-rise tower, overlooking the picturesque man-made lake, comprises of stylish, classical residential units, retail outlets, and offices. ,At Arsalan Properties, we pride ourselves on our dedicated team, whose expertise spans from assisting you in finding your dream home to identifying lucrative investment opportunities in Dubai's real estate market. With a deep understanding of the local market dynamics, we offer professional services encompassing buying, selling, rentals, and property management. ,Our commitment to excellence ensures that you receive the highest quality advice and support tailored to your specific property or investment requirements. Contact our friendly team today to benefit from our comprehensive services and embark on your real estate journey with confidence. Arsalan Properties is your complete service provider, guiding you every step of the way until you move into your new home."
Bayut - 2468-PDo1G9,For Sale,Villa,Q4 2026,Off-Plan,"12,500,000","Park Gate, Dubai Hills Estate, Dubai","4 Beds,5 Baths",none,Akram Hantoli,https://images.bayut.com/thumbnails/715572904-800x600.jpeg,"Dubai Villas,Dubai Hills Estate,Park Gate,Bayut - 2468-PDo1G9",,"Dubai Hills Estate,Park Gate Villa,Type 2,4 bedroom + Maid,BUA 5,091 sqft,Plot 4,900 sqft,Single row,Selling price AED 12,500,000/-,Please call Akram , for more information. ,Pictures are for illustrative purposes only. ,Not the actual photo. ,Park Gate is Dubai Hills Estate’s final villa community, offering a harmonious blend of modern luxury and serene nature. This bespoke development, crafted with the utmost attention to detail, promises a lifestyle that transcends the ordinary, positioning itself as a sought-after destination for discerning individuals. Park Gate is your personal haven that encapsulates natural beauty and luxurious amenities, boasting an ideal location at the master development’s main entrance."
Bayut - DP-S-46968,For Sale,Villa,7 May 2024,Off-Plan,"11,800,000","Park Gate, Dubai Hills Estate, Dubai","4 Beds,5 Baths,Built-up,:,Plot,:",none,Greta Bernotaite,https://images.bayut.com/thumbnails/689772703-800x600.jpeg,"Dubai Villas,Dubai Hills Estate,Park Gate,Bayut - DP-S-46968","Balcony or Terrace,Parking Spaces,Centrally Air-Conditioned,Broadband Internet","Brought to you by Driven Properties, this 4 Bedroom Villa is located in Park Gate, Dubai Hills Estate. ,Unit Details:,- Standalone Villa,- Landscape,- Kitchen: Open and Fully Fitted,- Bath: 5,- BUA: 5091 sqft,- Furnished: No,Features:,- Study,- Private garage,- Communal gardens,- Public park,- Tennis courts,- Shopping mall,- Securit,- Shops,- Public parking,- Concierge Service,- Public transport,- Mosque,- Golf clubhouse,- Childrens nursery,Dubai Hills Estate is a fully integrated community with luscious, landscaped greens and pristine fairways with an iconic backdrop of the Burj Khalifa and the Dubai skyline. ,Call our Business Bay office, for more information or viewing on , for out of office hours or weekends call ,. ,Ask us about:,- Mortgage Advisory,- Property Management,- Holiday Homes,- Interior Design,Visit our offices across Dubai's most popular communities including:,- Business Bay,- Dubai Creek Harbour,- Jumeirah Village Circle,- Dubai Hills Estate"
Bayut - 101406-25GsRo,For Sale,Apartment,25 January 2024,Off-Plan,"36,799,999","Mercedes Benz Places by Binghatti, Downtown Dubai, Dubai","4 Beds,5 Baths",none,,https://images.bayut.com/thumbnails/590267898-800x600.jpeg,"Dubai Apartments,Downtown Dubai,Mercedes Benz Places by Binghatti,Bayut - 101406-25GsRo","Balcony or Terrace,Maids Room,Swimming Pool,Centrally Air-Conditioned,Centrally Air-Conditioned,Storage Areas,Balcony or Terrace,Lobby in Building,Reception/Waiting Room,Gym or Health Club,Swimming Pool,Kids Play Area,Lawn or Garden,Security Staff,CCTV Security,Maids Room","Indigo Home Real Estate is delighted to offer you this 4-bedroom unit of Mercedes-Benz Places by Binghatti. Its not just a residence, it's a celebration of Sensual Purity, a design philosophy inspired by the dipolarity between intelligence and emotion. ,Unparalleled Design Philosophy:,Sensual Purity, the hallmark of Mercedes-Benz, transcends mere aesthetics. It's a celebration of design and spaces that go beyond visual appeal. Imagine living in a place where intelligence and emotion converge seamlessly to create a form of beauty that is both stunning and spectacular. ,Dubai - The City of Imagination:,Nestled in the heart of Dubai, a city that thrives on perpetual growth and boundless opportunities, Mercedes-Benz Places | Binghatti stands tall as an icon born from tomorrow. It is not just a residence; it's an emblem of brilliance in design that harmonizes with the ever-evolving skyline of Dubai. ,Architectural Icon:,This hyper-tower is more than just a building; it's an unmatched icon defined by outstanding design. The design DNA of Sensual Purity is deeply embedded in every aspect, making it unmistakably iconic. The amalgamation of design languages, intricate strokes, and the radiant Mercedes-Benz three-pointed star creates a form that breathes the spirit of revolutionary architecture and craftsmanship. ,Exclusive Features and Services:,-Solar Photovoltaic Technology,-LEED Certification,-Private Parking,-Acoustic System,-Smart System,-Spa Service,-Sky Infinity Pool,-Private Pool,-Podium Pool,-Gym,-Concierge Service,-Parking Access Card,-Food and Beverage,-Valet Service,-Housekeeping,Holistic and Eudemonic Lifestyles:,Mercedes-Benz Places | Binghatti is not just a place to live; it's a lifestyle. The interior details resonate with the spirit of wholeness and serenity. Elegant and harmonious hues create an environment that breathes luxury and sophistication. ,Intelligent Solutions and Sustainability:,This hyper-tower is designed with intelligent solutions and sustainable mechanisms. The Mercedes-Benz three-pointed star on the rear façade integrates with photovoltaic panels, providing power to electric vehicle charging stations within the hyper-tower. ,Payment plan of 70/30. ,Embark on a journey to discover new grounds for extraordinary moments. CONTACT US NOW to explore the epitome of luxury living at Mercedes-Benz Places | Binghatti. Your dream home awaits, where Sensual Purity becomes a way of life."
